[ひ]き算をする。|犬をつなで[ひ]く。|月の[いん]力を学ぶ。,引,5f15
鳥の[はね]が白い。|小鳥が[はね]を広げる。|木の上に鳥が一[わ]いる。,羽,7fbd
空に白い[くも]がある。|雨[ぐも]が近づく。|夏の空に[くも]が広がる。,雲,96f2
公[えん]を歩く。|兄と公[えん]で話す。|花[ぞの]を歩く。,園,5712
[とお]い町まで歩く。|家から学校まで[とお]い。|明日は[えん]足だ。,遠,9060
これは[なに]ですか。|[なん]人来ますか。|今[なん]時ですか。,何,4f55
[か]学の本を読む。|国語の教[か]書を読む。|先生が[か]学を教える。,科,79d1
[なつ]休みに海へ行く。|[なつ]の空は青い。|[なつ]の夜に星を見る。,夏,590f
[いえ]に帰る。|大きな[いえ]がある。|先生の[いえ]は近い。,家,5bb6
みんなで大きな声で[うた]う。|国の[うた]を聞く。|[か]手になりたい。,歌,6b4c
絵[が]を教室にかざる。|[が]用紙に絵をかく。|漢字の[かく]数を書く。,画,753b
こまがくるくる[まわ]る。|体を[まわ]す。|もう一[かい]話す。,回,56de
友だちに[あ]う。|学校で先生に[あ]う。|友だちと[かい]話をする。,会,4f1a
[うみ]で魚をつる。|青い[うみ]を見る。|[かい]水で足をあらう。,海,6d77
花の[え]をかく。|図書室で[え]本を読む。|[かい]画を教室で見る。,絵,7d75
友だちと[そと]であそぶ。|[がい]国の話を聞く。|ボタンが[はず]れる。,外,5916
みちの[かど]で止まる。|三[かく]形をかく。|牛に[つの]がある。,角,89d2
遠足は[たの]しい。|音[がく]の時間がすきだ。|いすに[らく]にすわる。,楽,697d
毎日の生[かつ]は楽しい。|元気に生[かつ]する。|学校生[かつ]がすきだ。,活,6d3b
木と木の[あいだ]を歩く。|時[かん]どおりに来る。|朝ごはんに[ま]に合う。,間,9593
赤い[まる]をかく。|紙を[まる]める。|この石は[まる]い。,丸,4e38
大きな[いわ]の上に立つ。|川の中に[いわ]がある。|この山は[がん]石が多い。,岩,5ca9
かがみで[かお]を見る。|赤い[かお]になる。|友だちの[かお]をかく。,顔,9854
[き]車が走る。|町まで[き]車で行く。|[き]船が海に出る。,汽,6c7d
夜、日[き]をつける。|今日の日[き]を書く。|先生が日[き]を読む。,記,8a18
学校から家に[かえ]る。|友だちと[かえり]道を歩く。|父が[き]国する日は明日だ。,帰,5e30
強い[ゆみ]を引く。|[きゅう]道場に行く。|[ゆみ]矢をかまえる。,弓,5f13
[うし]が草を食べる。|村に[うし]が多い。|[ぎゅう]肉を買う。,牛,725b
海で[さかな]をつる。|川に[さかな]がいる。|金[ぎょ]がおよぐ。,魚,9b5a
東[きょう]に行く。|東[きょう]は大きな町だ。|父は東[きょう]で本を買う。,京,4eac
[つよ]い風がふく。|この牛は力が[つよ]い。|音の[きょう]弱を聞く。,強,5f37
先生が漢字を[おし]える。|母に花の名前を[おそ]わる。|[きょう]室で本を読む。,教,6559
学校が[ちか]い。|[ちか]くの店に行く。|家の[ちか]くに川がある。,近,8fd1
[あに]は高校生だ。|[あに]と公園を歩く。|[きょう]弟げんかをする。,兄,5144
[かたち]がちがう。|星の[かたち]を紙にかく。|人[ぎょう]を作る。,形,5f62
時[けい]を見る。|[けい]算をする。|長さを[はか]る。,計,8a08
本を[もと]にもどす。|[げん]気に朝ごはんを食べる。|一月一日は[がん]日だ。,元,5143
「ありがとう」と[い]う。|やさしい[こと]ばを話す。|先生に[い]おうと思う。,言,8a00
[はら]っぱを走る。|野[はら]に花がさく。|夏に高[げん]へ行く。,原,539f
[と]をしめる。|[と]口に立つ。|古い[と]を直す。,戸,6238
[ふる]い本を読む。|[ふる]い家がある。|中[こ]の車を買う。,古,53e4
[ご]前中に本を読む。|[ご]後に公園へ行く。|[ご]前九時に学校へ行く。,午,5348
[あと]で行く。|[うし]ろを見る。|午[ご]に本を読む。,後,5f8c
国[ご]の本を読む。|日本[ご]で話す。|むかし話を[かた]る。,語,8a9e
図[こう]の時間が楽しい。|[こう]作できれいな花を作る。|父は大[く]だ。,工,5de5
[こう]園で花を見る。|[こう]園に友だちと行く。|大きな[こう]園がある町。,公,516c
[ひろ]い野原を歩く。|友だちと[ひろ]場で話す。|海は[ひろ]くて青い。,広,5e83
[こう]番に行く。|[こう]通に気をつける。|道が[まじ]わる。,交,4ea4
星が[ひか]る。|日[こう]がまぶしい。|石が[ひか]る。,光,5149
よく[かんが]える。|思[こう]して答える。|一人でじっくり[かんが]える。,考,8003
