大きな[ふね]が海を走る。|空に風[せん]をとばす。|川で[ふね]あそびをする。,船,8239
ものさしで直[せん]を引く。|[せん]ろの上を歩く。|三本の[せん]を書く。,線,7dda
学校の[まえ]に立つ。|午[ぜん]は雨だった。|[まえ]に出て話す。,前,524d
二年一[くみ]に入る。|ひもを[くむ]。|赤[ぐみ]と白[ぐみ]に分かれる。,組,7d44
公園を[はしる]。|兄と[はしる]。|車が道を[そう]こうする。,走,8d70
花が[おおい]。|[た]分学校に行くだろう。|人が[おおく]来る。,多,591a
この木は[ふとい]。|[ふとい]字で名前を書く。|[ふとった]犬が歩く。,太,592a
[からだ]を動かす。|[たい]じゅうをはかる。|強い[からだ]になる。,体,4f53
車が一[だい]止まる。|お母さんが[だい]どころで作る。|[たい]風が近づく。,台,53f0
[ち]図を見て道を歩く。|[じ]めんに絵をかく。|この土[ち]は広い。,地,5730
[いけ]で魚をつる。|公園の[いけ]に鳥がいる。|大きな[いけ]がある。,池,6c60
答えを[しる]。|通[ち]がとどく。|[しら]せを聞く。,知,77e5
お[ちゃ]を入れる。|[ちゃ]色のねこがいる。|お[ちゃ]会をする。,茶,8336
[ひる]ごはんを食べる。|[ひる]休みに友だちと話す。|今日は[ひる]から雨だ。,昼,663c
[ながい]川を見る。|校[ちょう]先生が話す。|妹はせが[ながく]なった。,長,9577
[とり]が木にとまる。|白い[とり]を見る。|小[とり]が鳴く。,鳥,9ce5
[あさ]ごはんを食べる。|[あさ]早く目がさめる。|毎[あさ]公園を歩く。,朝,671d
こわれた時計を[なおす]。|[ちょく]線を引く。|けがが[なおる]。,直,76f4
学校に[かよう]。|道を[とおる]。|[つう]学のときに友だちと話す。,通,901a
[おとうと]と話す。|[おとうと]は五才だ。|小さい[おとうと]がいる。,弟,5f1f
[みせ]でパンを買う。|[てん]長が来る。|[みせ]の前に立つ。,店,5e97
テストで百[てん]だった。|絵に黒い[てん]をかく。|[てん]数を数える。,点,70b9
思いを[つたえる]。|話が[つたわる]。|手[つだ]いをする。,伝,4f1d
[かたな]で紙を切る。|木の[かたな]を作る。|この[かたな]は古い。,刀,5200
[ふゆ]になる。|[ふゆ]休みに雪を見る。|[ふゆ]の朝は白い。,冬,51ac
くじが[あたる]。|[とう]番になる。|ボールを[あてる]。,当,5f53
日は[ひがし]から出る。|[とう]京に行く。|学校の[ひがし]がわに山がある。,東,6771
[あたま]をかく。|先[とう]に立つ。|[あたま]を下げてあいさつする。,頭,982d
[おなじ]色の花を見る。|[どう]時に立つ。|みんな[おなじ]答えだ。,同,540c
[みち]を歩く。|北海[どう]に行く。|[みち]で友だちに会う。,道,9053
本を[よむ]。|[どく]書をする。|音[どく]する。,読,8aad
[うち]がわに入る。|体[ない]で音がする。|家の[うち]で本を読む。,内,5185
[みなみ]の風がふく。|東[なん]の方に行く。|[みなみ]の村に行く。,南,5357
牛[にく]を食べる。|[にく]まんを買う。|お[にく]は米と食べる。,肉,8089
[うま]が走る。|竹[うま]で歩く。|[ば]車を引く。,馬,99ac
[むぎ]を作る。|[むぎ]茶を入れる。|田んぼで[むぎ]を見る。,麦,9ea6
一時[はん]に帰る。|りんごを[はん]分にする。|[はん]年たった。,半,534a
一[ばん]になる。|[ばん]犬が家にいる。|交[ばん]に行く。,番,756a
[ちち]と話す。|[ふ]母に手紙を書く。|[ちち]の日に絵をかく。,父,7236
強い[かぜ]がふく。|[ふう]船が空にうかぶ。|台[ふう]が近づく。,風,98a8
